Rank,Name,Location,About,Link
38,Zhejiang University,China,"Zhejiang University (ZJU) is one of China’s top higher education institutions, as well as one of its oldest; its roots can be traced back to 1897 and the founding of the Qiushi Academy.
Located in Hangzhou – one of China’s most picturesque cities – the University is organized across seven faculties and 36 schools. It is home to 3,611 full-time faculty members, including 41 members of the Chinese Academy of Sciences and the Chinese Academy of Engineering. ZJU has 53,673 students, over 53% of whom are postgraduate students.
Laying claim to several areas of research strength, ZJU currently ranks among the top three on Chinese mainland and within the top 100 in the Times Higher Education World Reputation Rankings and QS World University Rankings. Eighteen disciplines of ZJU have been selected for China’s “Double First-class” Initiative (3rd in China) and 39 disciplines graded A in the recent national assessment (1st in China).
The University prides itself on a culture of innovation and entrepreneurship. ZJU researchers are making an impact across many priority areas that address global challenges, including artificial intelligence, assembly technology for large aircraft, clean energy, ocean technology, industrial control technology, and global public health initiatives related to the prevention and treatment of infectious diseases. ZJU is also renowned for the number of business start-ups it spins off. Over 100 of its alumni sit at the helm of domestic or overseas listed companies, making the University synonymous with excellence and leadership.
ZJU is committed to transforming China and the world through active engagement. Major innovative developments include the creation of a high-level platform for intellectual property exchange, as well as the formation of a number of think-tanks, including the China Academy of Western Region Development, the National Research Center for Agricultural and Rural Development, and the Institute for Public Policy, which exist to extend the scope of ZJU’s research in social sciences.
ZJU has partnerships in place with more than 180 institutions from more than 30 countries worldwide. Included among them are such leading institutions as Imperial College London, the University of Sydney and the University of Illinois at Urbana-Champaign.
With a cohort of 6,843 international students, and around 8,000 faculty and students who participate annually in various overseas mobility programs, ZJU fully harnesses its extensive network to nurture talent with a global outlook. In collaboration with the Universities of Edinburgh and Illinois it has also established the ZJU-UoE and ZJU-UIUC Institutes on Haining International Campus.",https://www.topuniversities.com/universities/zhejiang-university#883575
40,Carnegie Mellon University,United States,"Located three miles from downtown Pittsburgh in a 140-acre campus, Carnegie Mellon is a private research university, founded in 1900 by Andrew Carnegie as the Carnegie Technical Schools.
Carnegie was a Scottish-American industrialist and philanthropist whose vision was to open a vocational training school for the offspring of working class Pittsburghers. In 1967, Carnegie Tech merged with the Mellon Institute, a science research center founded by the Mellon family of Pittsburgh.
Today, Carnegie Mellon is home to 13,650 students from 114 countries, split roughly evenly between undergraduates and postgraduates. Globally, it regularly ranks in the top 50 universities, but excels in certain disciplines: in 2018, Carnegie Mellon was ranked third in the world for computer science in the QS World University Rankings by Subject. It also featured in the top 10 globally for statistics and operational research.
For the Class of 2021, Carnegie Mellon had an overall admissions rate of 13.53 percent, with the acceptance rates of individual colleges varying significantly: for the Dietrich College of Humanities and Social Sciences it was 22 percent, while applicants had a meagre 7 percent chance of admission to the School of Computer Science.
Carnegie Mellon has a distinctive interdisciplinary approach to research and education, establishing programs and centers outside the limitations of departments or colleges and becoming a leader in new fields such as computational finance, information systems, and cognitive sciences.
There are seven academic divisions at Carnegie Mellon, including one of the oldest colleges of fine arts in the United States, as well as schools in the humanities and social sciences; engineering; information systems and public policy; science; and computer science.
Student life at Carnegie Mellon features over 225 student societies and organizations, art galleries, and various singular traditions. Carnegie Mellon's campus houses galleries such as The Frame, and the Regina Gouger Miller Gallery, which specializes in contemporary art.
Top class performing arts are staged by students at the Carnegie Mellon School of Music, the Carnegie Mellon School of Drama and the student-run theatrical organization Scotch'n'Soda.
Inspired by Andrew Carnegie's Scottish heritage, as well as the Mellon family's Scots-Irish ancestry, a Celtic flavor runs through the campus, manifested in Scotty, the Scottish Terrier mascot, The Tartan student newspaper, Skibo Gymnasium, The Thistle yearbook, and the Céilidh weekend every fall semester for homecoming.",https://www.topuniversities.com/universities/carnegie-mellon-university#883575
41,Delft University of Technology,Netherlands,"Ranked the 54th best university in the world, according to the
QS World University Rankings® 2018
, Delft University of Technology particularly excels in a number of STEM subjects, such as:
Civil and structural engineering
Mechanical engineering
Environmental studies
Engineering and technology
Architecture
Based in Delft in the Netherlands, Delft University of Technology has one of the largest campuses in the world. Extending over 161 hectares, it features restaurants, parks, cycle paths, a botanical garden, a new media center, a flight simulator and an aerodynamics and propulsion lab.",https://www.topuniversities.com/universities/delft-university-technology#883575
41,Purdue University,United States,"Founded in 1876, Purdue University is based in West Lafayette, Indiana. Purdue students can participate in over 1,000 student societies and 30 sports clubs, including water polo, basketball and intramural sports. Campus is also regularly home to gigs, exhibitions, musicals and plays.",https://www.topuniversities.com/universities/purdue-university#883575
42,Shanghai Jiao Tong University,China,"Founded in 1896, the Chinese university Shanghai Jiao Tong University is one of the most prestigious universities in China. The main language of instruction is Mandarin, although a few undergraduate and postgraduate courses are taught in English and joint-run with English and American universities. The university’s several campuses across Shanghai boast an enormous arena, a badminton court, tennis courts, basketball courts, several bookstores, canteens, cafes and restaurants.",https://www.topuniversities.com/universities/shanghai-jiao-tong-university#883575
43,Brown University,United States,"Brown University is a private Ivy League university based in Providence, Rhode Island. It was ranked 49th in the world in the QS World University Rankings® 2016-2017 and 25th in the Graduate Employability Rankings 2017.
As indicated by the QS World University Rankings® by Subject, Brown University is particularly strong in development studies (25th), economics and econometrics (30th) and English language and literature (36th).
Founded in 1764, Brown University is a research intensive liberal arts college committed to sustainability. Its Brown is Green website records its progress towards achieving sustainability and reducing emissions",https://www.topuniversities.com/universities/brown-university#883575
44,Georgia Institute of Technology,United States,"Ranked 70th in the world in the
QS World University Rankings® 2018
, Georgia Institute of Technology is a science and technology research university based in Atlanta, Georgia. According to the
QS World University Rankings by Subject
, it ranks among the top 20 universities in the world for:
Statistics and operational research (7th)
Mechanical engineering (12th)
Materials science (14th)
Electrical and electronic engineering (16th)
Engineering and technology (16th)
Civil and structural engineering (17th)
Architecture (18th)
Chemical engineering (20th)",https://www.topuniversities.com/universities/georgia-institute-technology#883575
45,American University of Beirut (AUB),Lebanon,"A teaching-centered research university founded in 1866, AUB has 800 instructional faculty and a student body of 8,000 students. AUB offers more than 120 programs leading to the bachelor's, master's, MD, and PhD degrees.",https://www.topuniversities.com/universities/american-university-beirut-aub#883575
46,Keio University,Japan,"Keio has a proud history as Japan's very first private institution of higher learning, which dates back to the formation of a school for Dutch studies in 1858 in Edo (now Tokyo) by founder Yukichi Fukuzawa. Since the school's inception, the students of Keio have risen to the forefront of innovation in every imaginable academic field, emerging as social and economic leaders. In today's internationally interdependent world, Keio places great effort upon maintaining the finest teaching faculty and superlative facilities. Building on the knowledge and experience of their predecessors, today's Keio students strive to develop the leadership qualities that will enable them to make valuable contributions to tomorrow's society.",https://www.topuniversities.com/universities/keio-university#883575
47,University of Bristol,United Kingdom,"Founded in 1876, the
University of Bristol
combines academic excellence with an independent and forward-thinking spirit.
Inspirational teaching
At Bristol, you’ll learn from and alongside academics who are leaders in their fields. This world-class teaching attracts the brightest students from across the world, with more than 120 countries represented in our
international community
. After graduation, you’ll be part of our worldwide
alumni network
of inspirational innovators, entrepreneurs and influencers.
Research excellence
The University is at the cutting edge of
global research
. A member of the Russell Group of UK research-intensive universities, Bristol is a top 5 UK institution for research (THE analysis of REF, 2014).
Industry connections
Bristol enjoys strong
connections
with hundreds of organisations worldwide, and is in the top four UK universities targeted by leading employers (High Fliers, 2018). The University is ranked 6th in the UK for graduate employability (QS, 2018) and Bristol alumni are among the highest paid in the country (LEO, 2017).
The best city life
You’ll study in the heart of
Bristol
, a historic, lively and green city in the south-west of England under two hours from London. With its vibrant culture, desirable location and community spirit, it’s no surprise that Bristol has been named the UK’s best place to live (Sunday Times, 2017).
World-class facilities
We continually invest in facilities and technology for our students. Our state-of-the-art buildings include the new £56.5 million Life Sciences building, and the Centre for Nanoscience and Quantum Information. You’ll also benefit from our 24-hour libraries, extensive IT spaces and purpose-built study centres.
Postgraduate Research Guide
International Guide
Postgraduate Prospectus
Undergraduate Prospectus",https://www.topuniversities.com/universities/university-bristol#883575
48,The University of Queensland,Australia,"For more than a century,
The University of Queensland (UQ)
has maintained a global reputation for creating positive change by delivering knowledge leadership for a better world.
UQ consistently ranks in the world’s top universities, is one of only three Australian members of the global Universitas 21, and is a founding member of the prestigious Group of Eight (Go8) universities.
More than 52,000 students study across UQ’s three beautiful campuses in South-East Queensland. This includes about 15,400 international students who contribute to UQ’s diverse, supportive and inclusive campus community.
UQ has won more Australian Awards for University Teaching than any other university, and is committed to providing students with the best opportunities and practical experiences, empowering them with transferable knowledge and skills that will prepare them to exceed expectations throughout their careers.
UQ’s greatest assets are its 250,000 successful graduates, who include more than 13,000 PhDs. Our successful alumni network spans 170 countries.
Our students have access to the latest and most advanced disciplinary knowledge as a result of UQ research informing our programs. With international learning opportunities, partnerships that provide support and industry insight, and inspirational teaching staff, students are encouraged to ask the questions that create change. UQ's beautiful campus environment matches the best higher education settings in the world, including extensive recreation and sporting facilities and world-class buildings.
CRICOS Provider Number 00025B",https://www.topuniversities.com/universities/university-queensland#883575
49,London School of Economics and Political Science (LSE),United Kingdom,"The London School of Economics and Political Science (LSE)
offersyou the opportunity to study the social sciences in an institution with aworldwide academic reputation, while enjoying the cultural, social andrecreational facilities of one of the world’s greatest capital cities.
The School is a place of genuine intellectual excitement andcutting-edge research. In the most recent national Research ExcellenceFramework (REF) LSE had the highest percentage of world-leading research of anyuniversity in the United Kingdom.
All LSE’s teaching and research is undertaken from a socialscience perspective, giving the institution a unique approach to otherwisecommon fields. LSE academics are at the forefront of developments in the socialsciences and their expertise is called upon by governments, businesses andmedia around the globe.
The School offers over 40 undergraduate programmes and over140 taught and research postgraduate programmes. LSE’s academic profile spans awide range of social science disciplines, from accounting to law, management tosocial policy.
The character of LSE is inseparable from its location. Situatedin central London, the School is located in one of the most cosmopolitan citiesin the world. Only a short distance from Europe’s financial, legal and culturalcentres, LSE stands at the crossroads of international debate. This isfundamental to our identity as an outward-looking institution with an activeinvolvement in UK and world affairs.
The student community at LSE is one of the mostinternationally diverse in the world, with students from over 140 countriesregistered each year. This mix encourages a truly international approach tointellectual discovery and academic life at LSE which cannot be matchedelsewhere.
The School has one of the most prestigious public eventsprogrammes in the world. Leading figures from all walks of life have spoken atLSE, including Bill Clinton, Nancy Pelosi, Amartya Sen,Christine Lagarde, Bill Gates, Helen Clark and George Soros.
A degree from LSE is widely recognised throughout the world.The School has produced over 35 world leaders and heads of state, 17 Nobel PrizeWinners, and a host of alumni who are well known nationally and internationally.",https://www.topuniversities.com/universities/london-school-economics-political-science-lse#883575
49,University of Texas at Austin,United States,"The University of Texas at Austin ranks 67th in the
QS World University Rankings® 2018
and among the top 80 universities in the world for employability in the
QS Graduate Employability Rankings 2017
. The US university is particularly strong in communication and media, for which it’s ranked sixth in the world in the
QS World University Rankings by Subject
.",https://www.topuniversities.com/universities/university-texas-austin#883575
51,Kyoto University,Japan,"Kyoto University is one of Asia’s leading research-oriented institutions and is famed for producing world-beating researchers, including 13 Nobel Prize laureates.
The motto of the school, which was founded in 1897, is “freedom of academic spirit”, a value it aims to instill on the 22,000 students enrolled on its undergraduate and graduate programs.
Kyoto ranks competitively in most major rankings, usually coming in the top two for Japan, the top 10 for Asia, and in the top 50 universities globally, making it a major player on the university scene.
The main Yoshida campus has been at the core of the university since its founding, and is notable for its fascinating architecture, encompassing a variety of styles, from brick buildings such as the Clock Tower Centennial Hall (a symbol of the university) to modern laboratory buildings.
Other campuses include Uji campus, which hosts research institutes, state-of-the-art laboratories and testing facilities, and Katsura campus, conceived as a “technoscience hill”. Mixing the traditional and cutting edge, there is therefore no one typical student experience at Kyoto, though what is common to all students is the sense of belonging to an academic community at the forefront of new scholarly horizons, in particular when it comes to new technologies and meeting global challenges.
For those interested in Japanese culture, the city of Kyoto will be of interest as it’s the birthplace of manga and was the capital city of Japan for over 1,000 years. Numerous cultural assets cultivated throughout its long history remain all over the city, and one in every 10 people there is a university student – by far the highest proportion of any Japanese city.
Kyoto is also blessed with an abundance of nature, surrounded by mountains and tranquil temple gardens. Parts of the city are also a conservation hub. Compared with Osaka or Tokyo, the cost of living in Kyoto is relatively low; as the city center is fairly compact, students can travel around safely by bicycle.",https://www.topuniversities.com/universities/kyoto-university#883575
52,Johns Hopkins University,United States,"Johns Hopkins University is an American private research university in Baltimore, Maryland. It was founded in 1876, and named after its first benefactor, the American entrepreneur, abolitionist, and philanthropist Johns Hopkins.
It blazed a trail among higher education institutions by being the first US research university, and today it puts more money into research than any other US academic institution. It’s also widely credited with revolutionizing higher education by being the first US institution to integrate teaching and research. To date, Johns Hopkins has spawned 27 Nobel laureates, including the former US president Woodrow Wilson.
Johns Hopkins is organized into 10 divisions on campuses in Maryland and Washington, DC with international centers in Italy, China, and Singapore. Johns Hopkins regularly ranks in the top 10 universities in the US, and is also competitive globally, especially for its undergraduate programs.
Johns Hopkins enrolls more than 24,000 full- and part-time students across its nine academic divisions with faculty members and students studying, teaching, and learning across more than 260 programs in the arts and music, the humanities, the social and natural sciences, engineering, international studies, education, business, and the health professions.
Applicants at undergraduate level are generally ranked in the top 10 percent of their high school class, and over time applications and selectivity has risen. For the class graduating in 2020, the acceptance rate was 11.4 percent.
Most Johns Hopkins undergraduates study at Homewood, a 140-acre North Baltimore campus that is home to the schools of engineering and arts and sciences. It’s a traditional college setting in the heart of a big and blossoming city, with red-brick buildings, tree-lined pathways, an iconic clock tower, and expansive green quads.
Nearly all undergraduates based in the main campus live in residence halls during their first two years, where they make friends and take advantage of what has officially been named one of the best campus dining programs in the US.
There’s also easy access to top class arts and culture: the school’s conservatory, the Peabody Institute, regularly hosts musical extravaganzas, concerts and performances, while the Center for Visual Arts, located next to the Baltimore Museum of Art, provides plenty of sources for artistic inspiration.
Off-campus, students can venture into Baltimore itself, a city with a rich history as a working-class port that has blossomed into a hub of social, cultural, and economic activity – yet retains a small-town feel.",https://www.topuniversities.com/universities/johns-hopkins-university#883575
52,Instituto Tecnológico y de Estudios Superiores de Monterrey,Mexico,"Ranked among the top 200 universities in the world in the
QS World University Rankings® 2018
, the private Mexican university
Instituto Tecnológico y de Estudios Superiores de Monterrey
was founded in 1943. It offers a wide range of undergraduate, postgraduate and high school programs within the following subject areas:
Medicine
Engineering
Management
Social sciences
Art and humanity
Rated five QS stars,
Instituto Tecnológico y de Estudios Superiores de Monterrey
achieved full marks in the categories of internationalization, innovation, employability, facilities, and specialist criteria. Read an explanation of the QS Stars rating and what these indicators mean
here
.
Instituto Tecnológico y de Estudios Superiores de Monterrey was ranked 40th in the world for employability in the
QS Graduate Employability Rankings 2017
, with 94% of its graduates accepting a job offer within a year of graduation.
With 31 campuses scattered across 25 cities and 16 countries, Instituto Tecnológico y de Estudios Superiores de Monterrey is home to 95,000 students and 9,400 professors. Its main campuses in Monterrey, Mexico City and Guadalajara have state-of-the-art facilities, including a swimming pool and high-tech labs. Read about the university’s campuses
here
.
Read live updates from Instituto Tecnológico y de Estudios Superiores de Monterrey on
Instagram
,
Facebook
,
Twitter
,
LinkedIn
, and
YouTube
.",https://www.topuniversities.com/universities/instituto-tecnologico-y-de-estudios-superiores-de-monterrey#883575
53,University of Leeds,United Kingdom,"The University of Leeds is a redbrick member of the Russell Group, a network of UK universities with strong research credentials. It was founded in Leeds in the north of England in 1904. It has one of the largest campuses in the country, a rich community with many green spaces, concert halls, galleries and restaurants.",https://www.topuniversities.com/universities/university-leeds#883575
55,University of Wisconsin-Madison,United States,"The University of Wisconsin-Madison is a public research university with a 378 hectare campus which contains a hospital, botanical gardens, an on-campus dairy farm and a music hall. The US university enjoys a very good academic reputation and a very high level of research, and was ranked among the top 100 universities in the world for employability in the Graduate Employability Rankings 2017, partly due to its impressive alumni outcomes. The university ranks among the top 20 universities in the world in the  QS World University Rankings by Subject for:
Geography
History
Chemical engineering
Agriculture and forestry
Communication and media studies
Education and training
Sociology",https://www.topuniversities.com/universities/university-wisconsin-madison#883575
56,University of Southern California,United States,"Los Angeles was little more than a frontier town in 1880 when USC first opened its doors to 53 students and 10 teachers. Today it is a world class research university, the oldest private research university in the West. Location: Los Angeles, California USC's University Park Campus, located in the heart of Los Angeles' Downtown Arts and Education Corridor, is home to the USC College of Letters, Arts and Sciences and many professional schools. The Health Sciences Campus, to the northeast of downtown Los Angeles, is home to the Keck School of Medicine of USC, the School of Pharmacy, three major teaching hospitals and programs in Occupational Science and Occupational Therapy, and Biokinesiology and Physical Therapy. USC also has programs and centers in Marina Del Rey, Orange County, Sacramento, Washington, D.C., Catalina Island, Alhambra and around Southern California. Childrens Hospital Los Angeles is staffed by USC faculty from the Keck School of Medicine and is often referred to as USC's third campus. President: Steven B. Sample Under the leadership of USC's 10th president, USC has become world-renowned in the fields of communication and multimedia technologies, has received national acclaim for its innovative community outreach programs and has solidified its status...",https://www.topuniversities.com/universities/university-southern-california#883575
57,The University of Edinburgh,United Kingdom,"Influencing the world since 1583
The
University of Edinburgh
is one of the world's top universities, consistently ranked in the world top 50, and ranked 18th in the QS World University Rankings 2019. Our entrepreneurial and cross-disciplinary culture attracts not only students, but also staff from some 137 countries, which creates a unique Edinburgh experience. We provide a stimulating working, learning and teaching environment with access to excellent facilities and attract the world's best, from Nobel Prize winning laureates to future explorers, pioneers and inventors.
Study with us
As host to more than 39,000 students, the University of Edinburgh continues to attract the world’s greatest minds. We offer a range of ways to study, from on-campus taught programmes to online part-time study. We are the largest provider of online distance learning in the Russell Group of UK research-intensive universities, and offer more than
60 online programmes
.
Teaching and research excellence
The latest report from the Quality Assurance Agency awarded us the highest rating possible for the quality of the student learning experience. At postgraduate level, we offer more than
300 taught masters courses and 135 research areas
.
Our position as one of Britain’s leading research universities was reaffirmed by the results of the 2014 Research Excellence Framework (REF). The REF rates 83% of our research activity as world-leading or internationally excellent, ranking us fourth in the UK based on the quality and breadth of our research.
Our dynamic
research
culture has led to the discovery of chloroform anaesthesia, the Higgs boson particle, and has produced innovations such as Dolly the sheep – the first mammal to be genetically cloned from an adult somatic cell.
Supporting you and your studies
We provide a range of support services to help with your academic and personal needs. You will have access to academic support throughout your time with us, and if you are an international student,
'
Edinburgh Global
' provides support and assistance to all non-UK applicants and students and our
English Language Education
offers assistance with English language. We also have a range of services:
Student Counselling Service
University Health Centre
Student Disability Service
Chaplaincy
Childcare Services
The Advice Place
Postgraduate students can also benefit from our
Institute for Academic Development
(IAD) which provides information, events and courses to develop the skills you will need throughout your studies and in the future.
Libraries and IT
You will have access to one of the largest and most important academic libraries in the world, housing over 1.8 million printed volumes, 700,000 electronic journal titles, and 700 licensed databases. Many Schools also have their own subject-specific libraries.
We have one of the largest campus computing networks in Britain with more than 3,000 computers in a variety of open-access, School and specialised computer labs. You’ll benefit from 30 open-access computer labs with 24-hour access across key locations. Free laptop loans are available from our libraries and there is almost 100% WiFi coverage in our buildings.
Study with us and you’ll find a lively, close-knit community with plenty of opportunities to meet other students, build your networks and gain new skills and experiences.
Get involved
Edinburgh University Students’ Association
has more than 260 societies covering a diverse range of interests, so you’re sure to find something of interest. If not, we can help you set up your own. Societies provide a place to meet like-minded people, indulge in a hobby, or simply socialise.
EUSA also offers opportunities for volunteering in the community, so you may find yourself volunteering as a tour guide at a local heritage centre or playing football with local kids. These rewarding experiences will develop your skills and enhance your employability.
If you enjoy being active, or just want to try out a new sport, our Sports Union offers over 60 sports clubs in which to get involved. As one of the top five sporting universities in the UK (British Universities and Colleges Sport 2017/18), our
Centre for Sport and Exercise
is regularly voted one of Edinburgh's best fitness facilities.
Venues and events
Edinburgh is home to the world’s oldest purpose-built Students’ Union building, Teviot. The Students' Association offers an array of bars, shops, cafes and entertainment venues. Regular entertainment includes club nights, live music and comedy, plus debates and regular club meetings. Academic schools and colleges, as well as Edinburgh Global, also hold regular student events, so you’ll have lots of opportunities for social activities.
Edinburgh the city
Edinburgh is regularly voted as one of the best places to live in the world. Cobbled lanes, dramatic skylines and striking architecture combine to produce a stimulating setting for the writers, philosophers, political thinkers and inventors whose stories have been woven into the capital's fabric throughout history.
The city enjoys a creative and cultural significance that was further confirmed with its appointment as the world's first UNESCO City of Literature – a permanent title reflecting its recognition as a worldwide centre for literary activity.
Edinburgh is a compact city with excellent transport links, which makes it easy to get around and to travel to other parts of Scotland and beyond. The city’s medieval Old Town and Georgian New Town, which offer contrasting history and architecture, have been made a UNESCO World Heritage site.
With an array of museums, galleries, parks, gardens, pubs, clubs, restaurants, shops, theatres, cinemas, sports facilities and much more, you’ll find something for every taste in the city. Not forgetting the biggest arts festival in the world, the Edinburgh Festival Fringe, which takes place in the city every August.
Visit our
city web pages
to find out more about our stunning city.
Applications for most of our postgraduate programmes are made online through our
degree finder
. To apply for a programme, look up your chosen programme in the degree finder. Entry requirements vary by programme.
The University of Edinburgh is ranked in the top 10 in the UK and in the top 100 in the world for the employability of our graduates (Times Higher Education, Global Employability University Ranking 2017). Edinburgh graduates are also among the UK’s top earners. Our alumni earn an average salary of £49,500 within five years of leaving university (Emolument.com).
Our award-winning
Careers Service
can offer practical advice and support. We encourage and support our students to plan and work towards their career goals.
We offer a wealth of guidance and initiatives to help take your career in the right direction, including:
individual appointments with careers consultants
access to staffed information centres five days a week
talks and events
online resources covering a range of topics from CVs and covering letters to selection tests and assessment centres
advice and noticeboards for graduate vacancies, part-time vacancies, vacation job vacancies and internship opportunities.
From online job boards and support tools, to face-to-face contact with employers and our trained staff, you can build networks, gain skills and enhance your employability.
Undergraduate Prospectus 2018 entry
Postgraduate Guide 2018 entry",https://www.topuniversities.com/universities/university-edinburgh#883575
58,King's College London,United Kingdom,"King's College London
is one of the top 25 universities in the world (2016/17 QS World University Rankings) and among the oldest in England. King's has more than 27,600 students (of whom nearly 10,500 are graduate students) from some 150 countries worldwide, and some 6,800 staff.
King's has an outstanding reputation for world-class teaching and cutting-edge research. In the 2014 Research Excellence Framework (REF) King’s was ranked 6th nationally in the ‘power’ ranking, which takes into account both the quality and quantity of research activity, and 7th for quality according to Times Higher Education rankings. Eighty-four per cent of research at King’s was deemed ‘world-leading’ or ‘internationally excellent’ (3* and 4*). The university is in the top seven UK universities for research earnings and has an overall annual income of more than £684 million.
King's has a particularly distinguished reputation in the humanities, law, the sciences (including a wide range of health areas such as psychiatry, medicine, nursing and dentistry) and social sciences including international affairs. It has played a major role in many of the advances that have shaped modern life, such as the discovery of the structure of DNA and research that led to the development of radio, television, mobile phones and radar.
King's College London and Guy's and St Thomas', King's College Hospital and South London and Maudsley NHS Foundation Trusts are part of King's Health Partners. King's Health Partners Academic Health Sciences Centre (AHSC) is a pioneering global collaboration between one of the world's leading research-led universities and three of London's most successful NHS Foundation Trusts, including leading teaching hospitals and comprehensive mental health services. For more information, visit:
www.kingshealthpartners.org
.
King’s £600 million campaign, World questions|KING’s answers, has delivered huge global impact in areas where King’s has particular expertise. Philanthropic support has funded new research to save young lives at Evelina London Children’s Hospital; established the King’s Dickson Poon School of Law as a worldwide leader in transnational law; built a new Cancer Centre at Guy’s Hospital; allowed unique collaboration between leading neuroscientists to fast-track new treatments for Alzheimer’s, Parkinson’s, motor neurone disease, depression and schizophrenia at the new Maurice Wohl Clinical Neuroscience Institute; created the Cicely Saunders Institute: the first academic institution in the world dedicated to palliative care, and supported the King’s Sierra Leone Partnership in the Ebola crisis. Donations provide over 300 of the most promising students with scholarships and bursaries each year.More information about the campaign is available at
www.kcl.ac.uk/kingsanswers
.",https://www.topuniversities.com/universities/kings-college-london#883575
59,Monash University,Australia,"Monash University Is the largest university in Australia, ranked in the world's top 100 and a member of the prestigious Group of Eight.  We're named after Sir John Monash, and fuelled by his desire for our students to leave here with a greater sense of purpose, and the skills and confidence to create positive change.
In under 60 years, we've grown from a single campus into an education and research powerhouse with a presence on four continents, committed to the challenges of the age.
With four Australian campuses, one in Malaysia and over 100 international partners, we're making a difference on a global scale.  You'll have access to more research collaborations, more global partnerships, and a greater choice of overseas opportunities.
We're active in over 150 fields of research across our 10 faculties, in areas as diverse as additive manufacturing, drug development, domestic violence and sustainable design. Many ideas developed at Monash - such as a new Malaria vaccine and 3D-printed engines - have been commercialised and are making a difference to the world we live in.
All Monash courses have an international focus, whether you take subjects on global issues, participate in study abroad programs, or learn alongside students from diverse cultures.  Monash prepares you for the global workforce - you can start your degree in Australia, and continue your studies in Italy, Malaysia, India, China, or any of our 100 partner institutions worldwide.",https://www.topuniversities.com/universities/monash-university#883575
60,RWTH Aachen University,Germany,"RWTH Aachen University is the largest university of technology in Germany and one of the most renowned in Europe. Every year, numerous international students and scientists come to the university to benefit from its high quality courses and excellent facilities, both of which are recognised at an international level.
RWTH Aachen University is in the process to become an integrated, interdisciplinary technical university. The engineering focus of the university is associated with the natural sciences and medicine. The arts, social sciences and economics, structurally linked to the core disciplines, also make a significant contribution to the university's teaching and research profile. With its 260 institutes in nine faculties, RWTH Aachen is among the leading European scientific and research institutions. 43,721 students in 144 courses of study are enrolled in the winter semester of 2015/16, including almost 8,000 international students from more than 120 countries.",https://www.topuniversities.com/universities/rwth-aachen-university#883575
61,Boston University,United States,"Boston University
is a major global research institution, creating breakthroughs in everything from African studies to zebrafish genetics. With over 33,000 part-time and full-time undergraduate and graduate students and nearly 10,000 faculty and staff spread across 17 schools and colleges, BU’s three city campuses are always humming. Established in 1869 by three Methodist businessmen, Boston University has since evolved into the largest university in Boston and the fourth-largest private university in the country.
In 2018,
U.S. News & World Report
ranked BU 37th in the nation and 39th among global universities. The faculty features a Pulitzer Prize winner, a MacArthur fellow, a former US Poet Laureate, and dozens of Guggenheim fellows. Our graduates are among the most employable in the country and the world—5th and 6th, respectively, according to
Times Higher Education
.
BU is a member of the Association of American Universities, an invitation-only group of 62 of North America’s most prestigious research universities. One of only four Boston-area members, BU boasts particular interdisciplinary breadth and depth of excellence in cloud computing and cyber security; engineering biology; infectious diseases; neuroscience; photonics; urban policy; education; and the humanities. Home also to a medical school and teaching hospital, in FY2017 BU landed more than $400M in federal research dollars. In the commercial sector, some 200 companies are developing and selling products based on BU discoveries.
BU is also a global university, with thousands of international scholars, faculty, and students on campus at any given time. By the same token, thousands of Terriers and faculty members get their passports stamped each year for study, research, and internship opportunities on all seven continents.
With an alumni base of more than 300,000 graduates, Boston University has produced many notable alums including Dr. Martin Luther King, Jr. The University counts 11 current or former governors of US states, 7 United States senators, and 32 members of the United States House of Representatives among its alumni. And a slew of Hollywood stars, including Geena Davis, Julianne Moore, Faye Dunaway, and Jason Alexander, call BU their alma mater, as do a number of other celebrated artists and thinkers.
BU is nestled in the heart of Boston, a hotbed of high tech and biomedicine, and the birthplace of American history, serving as an extended classroom for students, offering study, internship, and professional opportunities with some of the world’s most influential leaders in fields from art to finance to biotech. It’s no wonder BU is called “Boston’s university.”
Learn more about Boston University at
http://www.bu.edu/",https://www.topuniversities.com/universities/boston-university#883575
61,University of Navarra,Spain,"The University of Navarra is one of Spain´s most prestigious universities with a distinguished record in teaching and research. It offers over 50 undergraduate degrees and over 50 postgraduate programs (Masters and Phd) through its fifteen schools and two Graduate schools; ISEM Fashion School and IESE Business School with campuses in Pamplona, San Sebastian, Madrid, Barcelona, New York, Munich and Sao Paulo. The main campus in Pamplona is also home to the University Clinic, Clínica Universidad de Navarra and many research institutes and centers including the Institute of Culture and Society (ICS), Institute of Tropical Health, Center for Applied Medical Research (CIMA), Center for Biomedical Engineering and Nutrition Research Center. The CEIT-IK4Technology Center, which carries out applied industrial research projects, is based in San Sebastian. It is a very international university with over 20% of the student body being international. Its international focus is also seen in the number of agreements with foreign universities throughout the world and in the development of a more international curriculum, with more bilingual degrees. Many students study at the Institute of Spanish Language and Culture, which is dedicated to teaching Spanish language, culture, literature and history to international students.",https://www.topuniversities.com/universities/university-navarra#883575
